time,predator,prey1,prey2
0,100,100000,100000
1,1200,3077200,1622333
2,4867,3799400,3506333
3,,,
4,,,
5,8400,3830800,3045800
6,10867,533800,2993467
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,7600,638467,3003933
15,10533,607067,2909733
16,8800,910600,3872667
17,5667,1318800,722200
18,3600,1884000,900133
19,7667,303533,198867
20,9000,690800,1224600
21,7333,481467,2606200
22,6933,879200,2061933
23,8933,1308333,2867867
24,7400,1067600,2888800
25,8200,1015267,3705200
26,6800,3757533,2229400
27,13000,1894467,2061933
28,9267,764067,2198000
29,15133,826867,2595733
30,4200,544267,4511133
31,4333,837333,1611867
32,4400,3799400,3977333
33,10533,711733,2972533
34,12000,921067,1465333
35,8800,1046667,3003933
36,21000,1004800,1360667
37,11867,1339733,2396867
38,8400,732667,1873533
39,9667,533800,1486267
40,13200,1915400,3265600
41,11933,889667,2156133
42,9467,1475800,3642400
43,11800,1161800,2794600
44,11800,858267,1004800
45,15600,1653733,3904067
46,12733,962933,1957267
47,12200,439600,2375933
48,11933,533800,3035333
49,10133,690800,2920200
50,11400,617533,2103800
51,11067,471000,774533
52,11533,512867,2051467
53,12733,491933,2941133
54,11467,648933,2595733
55,8600,900133,3391200